id,lng,lat,GS exposure
155,121.5200425,31.3740729,0.039372396
156,121.5205416,31.37423885,0.238736979
157,121.5210407,31.37440479,0.399092013
158,121.5215398,31.37457074,0.143578125
159,121.5220252,31.37477113,0.069155381
160,121.5225026,31.37499056,0.065299479
161,121.5135505,31.37546371,0.079954861
162,121.5134594,31.37494639,0.083417535
163,121.5132836,31.37445185,0.015565972
164,121.5130934,31.37396371,0.034417535
165,121.5129362,31.37346479,0.05898177
166,121.5128696,31.37294558,0.155871528
167,121.5127198,31.37244177,0.194747396
168,121.5125682,31.37193845,0.050737848
169,121.5125226,31.37141738,0.023519097
170,121.5124617,31.37089795,0.014027778
171,121.5123913,31.37037779,0.028731771
172,121.5123318,31.36985695,0.233022615
173,121.5122795,31.36934269,0.050146701
174,121.5126811,31.36901502,0.262900173
175,121.5131016,31.36870842,0.611598959
176,121.5135719,31.36847296,0.54725872
177,121.5140621,31.36830265,0.688694445
178,121.5145256,31.36817182,0.593954865
179,121.5149588,31.3678807,0.629512183
180,121.5154298,31.36764658,0.559006944
181,121.5159201,31.36747168,0.203296007
182,121.516428,31.3675863,0.336867188
183,121.5221968,31.37591703,0.078928819
184,121.522325,31.37618953,0.046559895
185,121.5236974,31.37542885,0.161813368
186,121.5247147,31.375854,0.064555555
187,121.5236973,31.37593889,0.162211806
188,121.5231987,31.37608781,0.07995573
189,121.5247018,31.3756393,0.064555555
190,121.5241375,31.37499212,0.061056424
191,121.5245259,31.37463969,0.082907119
192,121.5249416,31.37431884,0.051637153
193,121.5254816,31.37553202,0.096922743
194,121.524963,31.37559261,0.067319448
195,121.5255278,31.37577957,0.096922743
196,121.5250031,31.37576964,0.049675349
197,121.5265099,31.37533654,0.045488716
198,121.5260356,31.37555351,0.288497396
199,121.5275207,31.3752671,0.177170139
200,121.5280346,31.37517224,0.108220486
201,121.5285482,31.3750762,0.117493924
202,121.5290697,31.3750108,0.125287326
203,121.5295847,31.37490899,0.114222223
204,121.5300952,31.37478453,0.128315973
205,121.5305981,31.37463996,0.092949653
206,121.5265551,31.37558202,0.045488716
207,121.5260294,31.37557109,0.288497396
208,121.4736494,31.36989301,0.292465278
209,121.4738225,31.36940039,0.524425347
210,121.4739732,31.36889714,0.46068315
211,121.4741132,31.36839055,0.438347222
212,121.4742425,31.36788096,0.507769963
213,121.4743802,31.36737372,0.110713528
214,121.4741302,31.37055019,0.204782118
215,121.4746378,31.37068733,0.260333382
216,121.4751428,31.37083448,0.348654514
217,121.4756506,31.3709703,0.355797743
218,121.4731384,31.37020975,0.253577256
219,121.4726321,31.37006927,0.249448785
220,121.4721277,31.36992082,0.090708333
221,121.4716229,31.36977437,0.084763021
222,121.4711158,31.36963599,0.137029513
223,121.4706101,31.36949326,0.31235243
224,121.4701011,31.36936214,0.169325521
225,121.4695974,31.36921117,0.254235244
226,121.4690921,31.36906648,0.341824652
227,121.4685855,31.36892666,0.345257813
228,121.4680797,31.3687847,0.334628472
229,121.4675775,31.36863401,0.314297742
230,121.4670729,31.36851429,0.29219184
231,121.4665771,31.36834253,0.247901041
232,121.4660701,31.36821213,0.293079861
233,121.465573,31.36804373,0.329624132
234,121.465066,31.3679127,0.326273437
235,121.4645619,31.36777396,0.261903646
236,121.46406,31.36762593,0.300776042
237,121.4635418,31.36755653,0.268909725
238,121.4630439,31.36738707,0.325677952
239,121.4625359,31.36725875,0.206784723
240,121.4796312,31.37126372,0.321016493
241,121.479519,31.37075159,0.218249133
242,121.4794322,31.37023649,0.272431424
243,121.4793585,31.36971638,0.34051823
244,121.4792609,31.36919961,0.26117882
245,121.479055,31.3717637,0.066011264
246,121.4785911,31.37200378,0.039257788
247,121.4799073,31.3718045,0.404400173
248,121.4808974,31.37221331,0.475958333
249,121.4801651,31.37224676,0.00025434
250,121.4804192,31.37231724,0.001340278
251,121.4836508,31.37017396,0.270934028
252,121.4833566,31.37060428,0.274429688
253,121.4834756,31.36955595,0.065443577
254,121.4829795,31.36938571,0.109028646
255,121.4824773,31.3692485,0.172689279
261,121.4793776,31.36884354,0.238915799
262,121.4844449,31.36996046,0.24746007
263,121.4849154,31.37019562,0.256480903
264,121.4853933,31.37041365,0.308727428
265,121.4858747,31.37062372,0.266574653
266,121.4863456,31.37085811,0.27375434
267,121.4868145,31.37109628,0.135645833
268,121.482303,31.37213283,0.329263021
269,121.4826034,31.37170221,0.133427951
270,121.4829095,31.37127509,0.297315972
271,121.4813598,31.37276126,0.211455729
272,121.4824149,31.37282457,0.227607639
273,121.4822759,31.37304652,0.166733506
274,121.4857678,31.3740363,0.085084201
275,121.48659,31.37438185,0.028716146
276,121.4835763,31.37116002,0.3653125
277,121.484047,31.37139448,0.297319444
278,121.4845176,31.37162853,0.293524305
279,121.4849724,31.37188895,0.266399309
280,121.4854437,31.37211652,0.383133681
281,121.4859119,31.37234805,0.344087674
282,121.4902718,31.37011802,0.001904514
283,121.4893855,31.37029339,0.255295139
284,121.488902,31.37009458,0.478909722
285,121.4884155,31.36990189,0.3928125
286,121.4879285,31.36971065,0.222841108
287,121.4874422,31.36951773,0.242682292
288,121.4869553,31.36932608,0.243258681
289,121.4864835,31.36909472,0.044414063
290,121.4859966,31.36890313,0.002598958
291,121.48551,31.36871109,0.005554688
292,121.4850233,31.36851896,0.076426215
293,121.4845371,31.36832553,0.047474826
294,121.4840512,31.36813161,0.253777778
295,121.4835652,31.36793768,0.222637147
296,121.4830792,31.367744,0.176625002
297,121.482591,31.36755505,0.087259553
